frame,x,y,file,particle
0,2.1176775087716,13.751305615317701,Cell3.csv,0
1,2.1091525940934397,13.6925866318624,Cell3.csv,0
2,2.11153611881408,13.7415413648293,Cell3.csv,0
3,2.07894364687028,13.777106294042401,Cell3.csv,0
4,2.07619854152821,13.740060276935301,Cell3.csv,0
5,2.10767200322928,13.7168989802194,Cell3.csv,0
6,2.0769152953545698,13.7644282338985,Cell3.csv,0
7,2.13201531027995,13.8084636495698,Cell3.csv,0
8,2.11759480130422,13.8168539492679,Cell3.csv,0
9,2.13570346379735,13.8009122876378,Cell3.csv,0
10,2.1079934113621297,13.7945447803867,Cell3.csv,0
11,2.11933113521528,13.824124194343,Cell3.csv,0
12,2.08425758602718,13.8169144624494,Cell3.csv,0
13,2.09183556659514,13.787422417743,Cell3.csv,0
14,2.09877287579988,13.8000008184544,Cell3.csv,0
15,2.09000375574725,13.825280581406199,Cell3.csv,0
16,2.05010696992255,13.7859849277133,Cell3.csv,0
17,2.08743090548078,13.7858574479651,Cell3.csv,0
18,2.0526360344300603,13.7806264900641,Cell3.csv,0
19,2.04087409654626,13.7462236971979,Cell3.csv,0
20,2.05736197156922,13.753689400677601,Cell3.csv,0
21,2.0537839828446898,13.766527495185102,Cell3.csv,0
22,2.0231616338845297,13.7713504518804,Cell3.csv,0
23,2.0444953062463602,13.7722718540424,Cell3.csv,0
24,2.00219105074185,13.7891554948032,Cell3.csv,0
25,2.01792781262787,13.7803649951612,Cell3.csv,0
26,2.01024872535848,13.757333384133801,Cell3.csv,0
27,2.0179151091312497,13.7594824193364,Cell3.csv,0
28,1.9804162228473101,13.7616953077416,Cell3.csv,0
29,1.9644886557597099,13.780000865173301,Cell3.csv,0
30,1.99942984731544,13.7534973000927,Cell3.csv,0
31,2.0156389825741803,13.7307378158507,Cell3.csv,0
32,1.98066436364646,13.7383701860285,Cell3.csv,0
33,2.00756388519838,13.7609404843761,Cell3.csv,0
34,1.98998483050696,13.7619851788408,Cell3.csv,0
35,1.98263137273839,13.7946949098527,Cell3.csv,0
36,1.97849479127274,13.7173188659038,Cell3.csv,0
37,1.9996813155555002,13.76680345716,Cell3.csv,0
38,1.9996911752786801,13.7580579247534,Cell3.csv,0
39,2.05385921776009,13.7388140265539,Cell3.csv,0
40,2.01248540025917,13.728209614788701,Cell3.csv,0
41,2.00745151484913,13.7113847838358,Cell3.csv,0
42,2.01026622309223,13.7636321945361,Cell3.csv,0
43,2.0293666988625,13.7583237315351,Cell3.csv,0
44,1.98454286162276,13.694133238369801,Cell3.csv,0
45,1.99141798619574,13.7139432708168,Cell3.csv,0
46,2.00986682854272,13.6920184460173,Cell3.csv,0
47,2.0084990614338603,13.7036934124604,Cell3.csv,0
48,2.00513061623193,13.7141378211126,Cell3.csv,0
49,2.01387145320005,13.716130719298201,Cell3.csv,0
50,1.9742174647083,13.6959315977177,Cell3.csv,0
51,2.00752703629914,13.7183207669631,Cell3.csv,0
52,2.0130034770534,13.6924784606785,Cell3.csv,0
53,2.03120445331568,13.7241524051777,Cell3.csv,0
54,2.01634480634833,13.7173123632599,Cell3.csv,0
55,2.04553950370568,13.7131632102551,Cell3.csv,0
56,2.02715249556753,13.691202541282602,Cell3.csv,0
57,2.02736377481045,13.6886990081102,Cell3.csv,0
58,2.00835609530774,13.6975431040008,Cell3.csv,0
59,2.00657094294645,13.6776411697192,Cell3.csv,0
0,3.5614831987061697,9.94040303315169,Cell3.csv,1
1,3.66529485404906,9.91770173095151,Cell3.csv,1
2,3.62554940793882,9.91434826576466,Cell3.csv,1
3,3.60561317081145,9.96731282955041,Cell3.csv,1
4,3.62548890032707,9.8874986579971,Cell3.csv,1
5,3.5786336215871004,9.90178669649881,Cell3.csv,1
6,3.55528502904465,9.94444647789086,Cell3.csv,1
7,3.5637414006166,10.0117273933506,Cell3.csv,1
8,3.56452555032884,9.96724683511427,Cell3.csv,1
9,3.57076465988399,9.97353881765895,Cell3.csv,1
10,3.56294511646414,9.96731374821011,Cell3.csv,1
11,3.55222889391531,9.984681897300279,Cell3.csv,1
12,3.54800264194698,9.9806364789533,Cell3.csv,1
13,3.55238605462016,9.939397625571981,Cell3.csv,1
14,3.5685513990516102,9.949169652635602,Cell3.csv,1
15,3.55569238586069,9.98542683691066,Cell3.csv,1
16,3.5517380303342705,9.96910873454925,Cell3.csv,1
17,3.57615538025545,9.96220137138131,Cell3.csv,1
18,3.5585950893542098,9.95336739181685,Cell3.csv,1
19,3.57689781262847,9.93191103894445,Cell3.csv,1
20,3.57513709835596,9.931641689386911,Cell3.csv,1
21,3.5499659228677802,9.972394491376422,Cell3.csv,1
22,3.53024594375194,9.959777751068222,Cell3.csv,1
23,3.50242432328211,9.95845477784383,Cell3.csv,1
24,3.51280093391529,9.95663029650173,Cell3.csv,1
25,3.51660973218838,9.97544135618733,Cell3.csv,1
26,3.4921611733381503,9.94808000819928,Cell3.csv,1
27,3.51201470673487,9.951498842465009,Cell3.csv,1
28,3.51144201496853,9.94181070521995,Cell3.csv,1
29,3.49894088951731,9.94824461501632,Cell3.csv,1
