frame,x,y,file,particle
0,3.7480496010692903,6.90195241967798,Cell10.csv,0
1,4.05776549656395,7.07678153038744,Cell10.csv,0
2,3.78869821846855,7.00567032963199,Cell10.csv,0
3,3.96695614603769,6.97303198521586,Cell10.csv,0
4,3.78267226072984,7.01208580033318,Cell10.csv,0
5,3.8214860150504704,6.94135230383093,Cell10.csv,0
6,3.79049192487843,6.96767796120592,Cell10.csv,0
7,3.74701370676263,6.95573812695557,Cell10.csv,0
8,3.79540227244959,6.86922083970987,Cell10.csv,0
9,3.7882325207579,6.90278495711494,Cell10.csv,0
10,3.7482227579035,6.87936809234111,Cell10.csv,0
11,3.80507869337108,6.9045018276616,Cell10.csv,0
12,3.8591072245159,6.87436575338835,Cell10.csv,0
13,4.03768489170159,7.04020666632052,Cell10.csv,0
14,4.16300508373942,6.98016183448393,Cell10.csv,0
15,4.07552058178441,7.000357531716021,Cell10.csv,0
16,4.021762064896221,6.92808560549964,Cell10.csv,0
17,3.91612103288329,6.77410114354673,Cell10.csv,0
18,3.8734440636149503,6.782087686034489,Cell10.csv,0
19,3.86297915940716,6.82042694495774,Cell10.csv,0
20,3.80817487357348,6.7494717242845805,Cell10.csv,0
21,3.89826856607288,6.72760537233968,Cell10.csv,0
22,3.86704542763475,6.74457182574251,Cell10.csv,0
23,3.86497389134075,6.81033196718681,Cell10.csv,0
24,3.87918870743332,6.748401436295601,Cell10.csv,0
25,3.83459280067097,6.7001945316160105,Cell10.csv,0
26,3.9072079523606,6.725508593923241,Cell10.csv,0
27,3.8763077475312997,6.7410963617526605,Cell10.csv,0
28,3.87699681051064,6.785137046842951,Cell10.csv,0
29,3.8693189587185004,6.80103290479,Cell10.csv,0
30,3.90814860412828,6.81448236844417,Cell10.csv,0
31,3.91115422394521,6.74950723275993,Cell10.csv,0
32,3.9464669638574703,6.76644590452107,Cell10.csv,0
33,3.94860819345533,6.72104624585949,Cell10.csv,0
34,3.9372587161065,6.73116218206575,Cell10.csv,0
35,3.88504295577667,6.74274900397429,Cell10.csv,0
36,3.94182474355673,6.75157717366385,Cell10.csv,0
37,3.92093345871758,6.708789335479031,Cell10.csv,0
38,3.92859718861457,6.68942781020499,Cell10.csv,0
39,3.92856262688965,6.70755997891835,Cell10.csv,0
40,3.9190158413637,6.68352313387612,Cell10.csv,0
