frame,x,y,file,particle
0,8.13187150761887,6.61479938299271,Cell9_1.csv,0
1,8.1401274927373,6.59369219302628,Cell9_1.csv,0
2,8.127374634220729,6.5855327225233795,Cell9_1.csv,0
3,8.218309501584319,6.702840212607129,Cell9_1.csv,0
4,8.207102219100591,6.52526039420786,Cell9_1.csv,0
5,8.12140050790009,6.4917420511118,Cell9_1.csv,0
6,8.19423854210876,6.57337614694599,Cell9_1.csv,0
7,8.15953526376141,6.686650811038611,Cell9_1.csv,0
8,8.32735390562144,6.68180832456009,Cell9_1.csv,0
9,8.460518489461991,6.6050115855198905,Cell9_1.csv,0
10,8.58025196467389,6.59978090325038,Cell9_1.csv,0
11,8.37023574760307,6.55755309728894,Cell9_1.csv,0
12,8.322742250103051,6.59676125799255,Cell9_1.csv,0
13,8.39506567793097,6.62638744174321,Cell9_1.csv,0
14,8.47010358769989,6.51729642062534,Cell9_1.csv,0
15,8.39054277486875,6.58402240485002,Cell9_1.csv,0
16,8.35739992903192,6.58898190812677,Cell9_1.csv,0
17,8.2276345009341,6.667537335096971,Cell9_1.csv,0
18,8.14682772019724,6.7626888683504705,Cell9_1.csv,0
19,8.21233278988947,6.66440740352841,Cell9_1.csv,0
20,8.26189723955224,6.65988962117373,Cell9_1.csv,0
21,8.10785756527113,6.69244106386563,Cell9_1.csv,0
22,8.13133254890246,6.560707071744461,Cell9_1.csv,0
23,8.20179744874456,6.47342469993497,Cell9_1.csv,0
24,8.02682619085356,6.605867535321541,Cell9_1.csv,0
25,8.08418923086191,6.68530398890339,Cell9_1.csv,0
26,8.09977531652153,6.702621166498051,Cell9_1.csv,0
27,8.21107609041373,6.74064634436428,Cell9_1.csv,0
28,8.232943635956001,6.76443960913351,Cell9_1.csv,0
29,8.28448281714612,6.7709428114093395,Cell9_1.csv,0
30,8.37182091524756,6.82279253594686,Cell9_1.csv,0
31,8.31063062356511,6.792385823744921,Cell9_1.csv,0
32,8.246721498972631,6.764771254029,Cell9_1.csv,0
33,8.3514020972995,6.7569961282262,Cell9_1.csv,0
34,8.47278641222043,6.84856498725217,Cell9_1.csv,0
35,8.42018707244786,6.72425428095955,Cell9_1.csv,0
36,8.45236811764729,6.77418917052558,Cell9_1.csv,0
37,8.48576293221636,6.81089805801687,Cell9_1.csv,0
38,8.56687896899393,6.728250153185449,Cell9_1.csv,0
39,8.46706313444634,6.7143839043432605,Cell9_1.csv,0
40,8.575202352403819,6.80727655714676,Cell9_1.csv,0
41,8.54114424957139,6.76183145139063,Cell9_1.csv,0
42,8.58738998668268,6.7417383367734,Cell9_1.csv,0
43,8.44459841392176,6.9317247322588305,Cell9_1.csv,0
44,8.57748941564054,6.9991525438038495,Cell9_1.csv,0
