frame,x,y,file,particle
0,3.21199703694269,7.8197567523039595,Cell11.csv,0
1,3.36634742103727,8.00887382396859,Cell11.csv,0
2,3.33816004961922,7.82114557210991,Cell11.csv,0
3,3.31986113769713,7.92647114361322,Cell11.csv,0
4,3.41684505500448,7.769192907511551,Cell11.csv,0
5,3.16207123683452,7.92429290891718,Cell11.csv,0
6,3.28373709865345,7.817201460460841,Cell11.csv,0
7,3.3029702290524603,7.9042827217957,Cell11.csv,0
8,3.2362888600523902,7.98287179542579,Cell11.csv,0
9,3.26326262540142,7.96898549683541,Cell11.csv,0
10,3.36676412343299,7.86180167895049,Cell11.csv,0
11,3.19938992359959,7.911709469802321,Cell11.csv,0
12,3.44292684388082,7.894701744084871,Cell11.csv,0
13,3.2308236088693802,8.06769371660449,Cell11.csv,0
14,3.3848550539191704,7.87146467228339,Cell11.csv,0
15,3.3157315670909804,7.98643147571793,Cell11.csv,0
16,3.3516873294308698,8.02886467890799,Cell11.csv,0
17,3.3188937258803097,8.071558500395321,Cell11.csv,0
18,3.36495695869261,7.88408952111682,Cell11.csv,0
19,3.18360842827093,8.03595961962819,Cell11.csv,0
20,3.24103025420928,7.877262553917171,Cell11.csv,0
21,3.26808512364115,7.93587265212244,Cell11.csv,0
22,3.1706188112834,7.8105343981837105,Cell11.csv,0
23,3.19222665433097,7.975790126662949,Cell11.csv,0
24,3.3027778553813603,7.93510195483347,Cell11.csv,0
25,3.2067029468020603,7.97139019612828,Cell11.csv,0
26,3.1930821959458098,7.918719385989131,Cell11.csv,0
27,3.24122215744179,7.97788794775313,Cell11.csv,0
28,3.13277755595769,8.05067759345101,Cell11.csv,0
29,3.29894070715065,8.01164845197852,Cell11.csv,0
30,3.15833851451088,8.16511513956312,Cell11.csv,0
31,3.23820565442372,8.21971366762468,Cell11.csv,0
32,3.17096737495144,8.07015318929774,Cell11.csv,0
33,3.58373667341862,7.99097507065641,Cell11.csv,0
34,3.40263302905174,8.067871936949,Cell11.csv,0
35,3.46564992554401,8.026911209542881,Cell11.csv,0
36,3.31335913375701,7.96740192481147,Cell11.csv,0
37,3.24109078136459,8.018737422131231,Cell11.csv,0
38,3.2352099364371,8.058014099246071,Cell11.csv,0
39,3.39985507616409,8.028899135497001,Cell11.csv,0
40,3.4240450617169502,7.99375254622211,Cell11.csv,0
41,3.28163955761587,7.9737285937374,Cell11.csv,0
42,3.36158030257912,8.0014028243527,Cell11.csv,0
43,3.34978087822437,8.0721467298135,Cell11.csv,0
44,3.21225326119935,8.08393923718823,Cell11.csv,0
45,3.27864990984525,8.12663693592693,Cell11.csv,0
46,3.25589636559277,8.09273017258133,Cell11.csv,0
47,3.40498548002041,8.070291439524791,Cell11.csv,0
48,3.43930084385399,8.05558545953218,Cell11.csv,0
49,3.4457733053294604,8.08957639627579,Cell11.csv,0
50,3.44396399193551,8.11232668946364,Cell11.csv,0
51,3.24538250268587,8.00143797464748,Cell11.csv,0
52,3.25013019727891,7.991907337687681,Cell11.csv,0
53,3.3009946158351,8.02075815353842,Cell11.csv,0
54,3.35685778617898,8.021057635854719,Cell11.csv,0
55,3.37857482895827,8.18244545316417,Cell11.csv,0
56,3.49786718735104,8.03588210885241,Cell11.csv,0
57,3.30747540167834,7.8974037859070405,Cell11.csv,0
58,3.33216226013516,8.01063355242398,Cell11.csv,0
